Mes Año,Indice,Variación anual %,Variación mensual %,Variación año corrido %
199003,"6,37","27,63","2,89","10,19"
199002,"6,19","27,12","3,66","7,09"
199001,"5,97","26,69","3,3","3,3"
198912,"5,78","26,12","1,44","26,12"
198911,"5,7","27,09","1,78","24,32"
198910,"5,6","26,61","1,6","22,15"
198909,"5,51","26,55","1,39","20,22"
198908,"5,43","25,69","1,38","18,56"
198907,"5,36","23,76","1,54","16,95"
198906,"5,28","23,63","1,37","15,16"
198905,"5,21","24,88","1,75","13,6"
198904,"5,12","24,85","2,53","11,64"
198903,"4,99","26,53","2,48","8,89"
198902,"4,87","27,03","3,32","6,25"
198901,"4,71","27,91","2,83","2,83"
198812,"4,58","28,12","2,23","28,12"
198811,"4,48","27,68","1,39","25,33"
198810,"4,42","28,59","1,56","23,62"
198809,"4,35",29,"0,71","21,72"
198808,"4,32","29,65","-0,18","20,86"
198807,"4,33","30,26","1,45","21,07"
198806,"4,27","30,27","2,4","19,35"
198805,"4,17","28,44","1,73","16,55"
198804,"4,1","28,41","3,91","14,57"
198803,"3,94","26,36","2,89","10,26"
198802,"3,83","26,13","4,03","7,16"
198801,"3,68","23,7",3,3
198712,"3,58","24,02","1,87","24,02"
198711,"3,51","24,73","2,11","21,74"
198710,"3,44","24,8","1,88","19,23"
198709,"3,37","25,01","1,22","17,02"
198708,"3,33","25,27","0,29","15,62"
198707,"3,32","26,65","1,46","15,28"
198706,"3,28","24,81","0,96","13,62"
198705,"3,25","22,73","1,7","12,54"
198704,"3,19","19,8","2,25","10,66"
198703,"3,12","20,36","2,71","8,22"
198702,"3,04","19,77","2,03","5,37"
198701,"2,98","21,09","3,27","3,27"
198612,"2,88","20,95","2,45","20,95"
198611,"2,81","19,54","2,17","18,05"
198610,"2,76","18,17","2,06","15,55"
198609,"2,7","16,79","1,43","13,22"
198608,"2,66","16,17","1,4","11,62"
198607,"2,62","14,11","-0,01","10,08"
198606,"2,63","13,46","-0,73","10,1"
198605,"2,64","16,4","-0,72","10,91"
198604,"2,66","22,54","2,73","11,72"
198603,"2,59","22,65","2,21","8,75"
198602,"2,54","23,72","3,15","6,4"
198601,"2,46","23,55","3,15","3,15"
198512,"2,38","22,45","1,26","22,45"
198511,"2,35","23,49","0,99","20,92"
198510,"2,33","24,77","0,87","19,73"
198509,"2,31","24,4","0,89","18,7"
198508,"2,29","24,67","-0,4","17,66"
198507,"2,3","25,64","-0,58","18,13"
198506,"2,31","27,91","1,84","18,82"
198505,"2,27","27,61","4,52","16,67"
198504,"2,17","23,81","2,81","11,63"
198503,"2,11","22,82","3,11","8,58"
198502,"2,05","21,24",3,"5,31"
198501,"1,99","19,27","2,24","2,24"
198412,"1,95","18,28","2,13","18,28"
198411,"1,91","16,39","2,04","15,82"
198410,"1,87","15,27","0,57","13,51"
198409,"1,86","16,51","1,1","12,87"
198408,"1,84","16,19","0,38","11,64"
198407,"1,83","15,67","1,22","11,22"
198406,"1,81","15,17","1,61","9,88"
198405,"1,78","14,16","1,4","8,14"
198404,"1,76","15,42","1,99","6,65"
198403,"1,72","16,64","1,78","4,57"
198402,"1,69","17,2","1,34","2,74"
198401,"1,67","17,02","1,39","1,39"
198312,"1,65","16,64","0,49","16,64"
198311,"1,64","17,04","1,05","16,06"
198310,"1,62","17,2","1,65","14,86"
198309,"1,59","17,42","0,82","12,09"
198308,"1,58","18,32","-0,08","12,07"
198307,"1,58","19,82","0,79","12,15"
198306,"1,57","20,46","0,72","11,28"
198305,"1,56","22,28","2,52","10,49"
198304,"1,52","22,42","3,06","7,77"
198303,"1,48","21,85","2,27","4,57"
198302,"1,44","21,88","1,18","2,25"
198301,"1,43","23,08","1,05","1,05"
198212,"1,41","24,03","0,84","24,03"
198211,"1,4","24,79","1,19","22,99"
198210,"1,38","25,26","1,84","21,55"
198209,"1,36","24,52","1,59","19,35"
198208,"1,34","23,46","1,2","17,48"
198207,"1,32","23,54","1,32","16,08"
198206,"1,3","24,19","2,23","14,58"
198205,"1,28","24,78","2,64","12,07"
198204,"1,24","24,77","2,58","9,19"
198203,"1,21","24,55","2,3","6,44"
198202,"1,18","25,1","2,17","4,05"
198201,"1,16","26,03","1,83","1,83"
198112,"1,14","26,36","1,46","26,36"
198111,"1,12","26,35","1,57","24,54"
198110,"1,1","27,1","1,24","22,61"
198109,"1,09","28,33","0,72","21,11"
198108,"1,08","29,52","1,27","20,24"
198107,"1,07","28,93","1,85","18,73"
198106,"1,05","27,87","2,72","16,58"
198105,"1,02","26,02","2,63","13,48"
198104,1,"27,05","2,38","10,57"
198103,"0,97","28,82","2,75","7,98"
198102,"0,95",28,"2,93","5,08"
198101,"0,92","25,67","2,09","2,09"
198012,"0,9","25,85","1,37","25,85"
198011,"0,89","26,2","2,17","24,15"
198010,"0,87","26,52","2,22","21,51"
198009,"0,85","25,49","1,66","18,87"
198008,"0,84","26,13","0,8","16,92"
198007,"0,83","27,37","1,01","15,99"
198006,"0,82","27,72","1,23","14,83"
198005,"0,81","28,27","3,47","13,43"
198004,"0,78","26,64","3,82","9,63"
198003,"0,76","24,2","2,1","5,59"
198002,"0,74","26,62","1,06","3,42"
198001,"0,73","27,59","2,33","2,33"
197912,"0,72","28,8","1,66","28,8"
197911,"0,7","28,15","2,42","26,7"
197910,"0,69","26,87","1,39","23,7"
197909,"0,68","27,71","2,18",22
197908,"0,66","25,51","1,79","19,4"
197907,"0,65","23,47","1,29","17,3"
197906,"0,64","21,57","1,67","15,8"
197905,"0,63","22,61","2,15","13,9"
197904,"0,62","22,79","1,83","11,5"
197903,"0,61","22,53","4,09","9,5"
197902,"0,58","21,49","1,84","5,2"
197901,"0,57","21,04","3,3","3,3"
197812,"0,56","18,42","1,14","18,42"
197811,"0,55","17,62","1,4","17,09"
197810,"0,54","16,16","2,07","15,47"
197809,"0,53","13,53","0,42","13,13"
197808,"0,53","13,21","0,14","12,66"
197807,"0,53","12,69","-0,27","12,5"
197806,"0,53","14,13","2,54","12,8"
197805,"0,52","14,75","2,3","10,01"
197804,"0,5","17,08","1,62","7,54"
197803,"0,5","23,4","3,2","5,83"
197802,"0,48","24,36","1,46","2,54"
197801,"0,47","27,22","1,07","1,07"
197712,"0,47","28,71","0,46","28,71"
197711,"0,47","29,44","0,14","28,13"
197710,"0,47","32,4","-0,24","27,94"
197709,"0,47","34,87","0,14","28,26"
197708,"0,47","37,01","-0,32","28,08"
197707,"0,47","39,45","1,01","28,5"
197706,"0,46","41,65","3,09","27,21"
197705,"0,45","40,85","4,38","23,39"
197704,"0,43","36,63","7,1","18,22"
197703,"0,4","29,91","4,01","10,38"
197702,"0,39","27,53","3,79","6,13"
197701,"0,37","25,72","2,25","2,25"
197612,"0,36","25,76","1,03","25,76"
197611,"0,36","25,31","2,44","24,49"
197610,"0,35","23,04","1,61","21,53"
197609,"0,35","22,27","1,72","19,6"
197608,"0,34","21,82","1,45","17,57"
197607,"0,34","20,08","2,61","15,89"
197606,"0,33","17,73","2,51","12,95"
197605,"0,32","15,69","1,25","10,18"
197604,"0,32","16,35","1,83","8,81"
197603,"0,31","17,12","2,11","6,86"
197602,"0,3","17,86","2,31","4,65"
197601,"0,3","17,11","2,29","2,29"
197512,"0,29","17,77","0,66","17,77"
197511,"0,29","19,25","0,58",17
197510,"0,29","19,91","0,97","16,32"
197509,"0,28","23,75","1,35","15,2"
197508,"0,28","23,99",0,"13,66"
197507,"0,28","24,36","0,6","13,66"
197506,"0,28","24,8","0,74","12,99"
197505,"0,28","25,18","1,83","12,16"
197504,"0,27","24,39","2,51","10,15"
197503,"0,26","24,63","2,74","7,45"
197502,"0,26","25,29","1,67","4,58"
197501,"0,25","26,36","2,86","2,86"
197412,"0,25","26,35","1,93","26,35"
197411,"0,24","25,42","1,14","23,96"
197410,"0,24","26,7","4,2","22,56"
197409,"0,23","22,26","1,55","17,62"
197408,"0,23","22,06","0,3","15,83"
197407,"0,22","21,2","0,95","15,48"
197406,"0,22","22,45","1,04","14,39"
197405,"0,22","23,53","1,19","13,21"
197404,"0,22","25,73","2,72","11,89"
197403,"0,21","26,7","3,29","8,93"
197402,"0,21","26,91","2,54","5,46"
197401,"0,2","26,28","2,85","2,85"
197312,"0,19","24,08","1,18","24,08"
197311,"0,19","22,89","2,17","22,64"
197310,"0,19","21,64","0,55","20,03"
197309,"0,19","23,36","1,38","19,37"
197308,"0,18","23,44","-0,41","17,75"
197307,"0,19","24,78","1,99","18,23"
197306,"0,18","23,77","1,93","15,92"
197305,"0,18","22,7","2,99","13,72"
197304,"0,17","20,09","3,51","10,42"
197303,"0,17","17,75","3,46","6,68"
197302,"0,16","14,94","2,02","3,11"
197301,"0,16","13,95","1,07","1,07"
197212,"0,16","13,99","0,2","13,99"
197211,"0,16","14,31","1,13","13,76"
197210,"0,15","14,24","1,97","12,48"
197209,"0,15","13,6","1,45","10,31"
197208,"0,15","12,9","0,68","8,74"
197207,"0,15","13,34","1,17","8,01"
197206,"0,15","13,57","1,05","6,76"
197205,"0,15","13,02","0,8","5,65"
197204,"0,14","13,46","1,49","4,81"
197203,"0,14","13,83","0,98","3,27"
197202,"0,14","13,84","1,15","2,27"
197201,"0,14","13,5","1,1","1,1"
197112,"0,14","14,03","0,48","14,03"
197111,"0,14","14,6","1,07","13,49"
197110,"0,14","14,65","1,41","12,28"
197109,"0,13","13,14","0,82","10,73"
197108,"0,13","13,03","1,07","9,83"
197107,"0,13","11,19","1,37","8,67"
197106,"0,13",10,"0,56","7,2"
197105,"0,13","10,54","1,2","6,6"
197104,"0,13","9,78","1,83","5,34"
197103,"0,12","9,3","0,99","3,45"
197102,"0,12","9,15","0,84","2,43"
197101,"0,12","8,26","1,58","1,58"
197012,"0,12","6,58","0,98","6,58"
197011,"0,12","6,12","1,12","5,55"
197010,"0,12","5,22","0,07","4,38"
197009,"0,12","6,51","0,73","4,31"
197008,"0,12","6,43","-0,58","3,56"
197007,"0,12","7,44","0,28","4,16"
197006,"0,12","7,56","1,05","3,87"
197005,"0,12","7,01","0,5","2,78"
197004,"0,12","7,43","1,39","2,27"
197003,"0,11","7,72","0,85","0,87"
197002,"0,11","7,69","0,02","0,02"
197001,"0,11","7,36",0,0
196912,"0,11","8,63","0,55","8,63"
196911,"0,11","7,89","0,25","8,04"
196910,"0,11","8,37","1,29","7,76"
196909,"0,11","7,35","0,65","6,39"
196908,"0,11","6,81","0,37","5,7"
196907,"0,11","6,16","0,4","5,31"
196906,"0,11","6,58","0,54","4,89"
196905,"0,11","6,42","0,89","4,34"
196904,"0,11","6,18","1,66","3,41"
196903,"0,11","6,17","0,83","1,72"
196902,"0,11","6,41","-0,29","0,89"
196901,"0,11","6,71","1,18","1,18"
196812,"0,1","6,51","-0,13","6,51"
196811,"0,1","7,12","0,7","6,65"
196810,"0,1","6,97","0,35","5,91"
196809,"0,1","7,43","0,13","5,55"
196808,"0,1","7,65","-0,24","5,41"
196807,"0,1","7,73","0,8","5,66"
196806,"0,1","7,04","0,38","4,82"
196805,"0,1","8,52","0,67","4,42"
196804,"0,1","8,48","1,64","3,73"
196803,"0,1","7,14","1,05","2,05"
196802,"0,1","7,18","-0,01","0,99"
196801,"0,1","7,68","0,99","0,99"
196712,"0,1","7,17","0,44","7,17"
196711,"0,1","7,6","0,56","6,71"
196710,"0,1","7,28","0,78","6,12"
196709,"0,1","7,6","0,34","5,3"
196708,"0,1","8,4","-0,16","4,94"
196707,"0,1","8,3","0,15","5,11"
196706,"0,1","8,24","1,76","4,95"
196705,"0,09","6,3","0,63","3,13"
196704,"0,09","6,87","0,39","2,48"
196703,"0,09","9,62","1,09","2,08"
196702,"0,09","11,09","0,45","0,98"
196701,"0,09","12,01","0,52","0,52"
196612,"0,09","12,86","0,84","12,86"
196611,"0,09","14,7","0,26","11,93"
196610,"0,09",16,"1,08","11,64"
196609,"0,09","17,24","1,09","10,45"
196608,"0,09","17,04","-0,26","9,26"
196607,"0,09","17,58","0,1","9,54"
196606,"0,09","17,56","-0,06","9,43"
196605,"0,09","19,42","1,17","9,5"
196604,"0,09","19,51","2,98","8,23"
196603,"0,09","18,09","2,45","5,1"
196602,"0,08","16,9","1,28","2,59"
196601,"0,08","14,3","1,29","1,29"
196512,"0,08","14,44","2,48","14,44"
196511,"0,08","11,86","1,4","11,67"
196510,"0,08","11,23","2,16","10,14"
196509,"0,08","8,05","0,92","7,81"
196508,"0,08","6,37","0,21","6,83"
196507,"0,08","4,57","0,08","6,61"
196506,"0,08","3,61","1,52","6,53"
196505,"0,07","3,6","1,25","4,93"
196504,"0,07","5,57","1,75","3,64"
196503,"0,07","6,16","1,42","1,85"
196502,"0,07","7,1","-0,97","0,43"
196501,"0,07","8,75","1,41","1,41"
196412,"0,07","8,8","0,17","8,8"
196411,"0,07","9,62","0,82","8,61"
196410,"0,07","11,01","-0,77","7,73"
196409,"0,07","13,7","-0,65","8,56"
196408,"0,07","15,63","-1,49","9,27"
196407,"0,07","17,67","-0,84","10,92"
196406,"0,07","19,58","1,51","11,86"
196405,"0,07","20,43","3,17","10,2"
196404,"0,07","18,18","2,32","6,81"
196403,"0,07","20,51","2,32","4,39"
196402,"0,07","23,88","0,55","2,02"
196401,"0,07","30,67","1,46","1,46"
196312,"0,06","33,6","0,93","33,6"
196311,"0,06","33,44","2,1","32,37"
196310,"0,06","31,55","1,64","29,65"
196309,"0,06","29,83","1,03","27,56"
196308,"0,06","29,28","0,26","26,25"
196307,"0,06","28,99","0,77","25,93"
196306,"0,06","29,24","2,22","24,97"
196305,"0,06","26,52","1,24","22,25"
196304,"0,06","25,08","4,34","20,75"
196303,"0,06","21,29","5,18","15,73"
196302,"0,05","16,34","6,06","10,03"
196301,"0,05","9,79","3,74","3,74"
196212,"0,05","6,3","0,81","6,3"
196211,"0,05","6,15","0,65","5,45"
196210,"0,05","6,01","0,31","4,76"
196209,"0,05","5,85","0,6","4,44"
196208,"0,05","4,55","0,04","3,82"
196207,"0,05","3,3","0,96","3,78"
196206,"0,05","2,57","0,07","2,79"
196205,"0,05","2,63","0,09","2,72"
196204,"0,05","3,66","1,18","2,62"
196203,"0,05","4,54","0,89","1,42"
196202,"0,05","5,29","0,09","0,53"
196201,"0,05","5,63","0,44","0,44"
196112,"0,05","5,74","0,67","5,74"
196111,"0,05","6,13","0,52","5,04"
196110,"0,05","6,81","0,15","4,5"
196109,"0,05","7,47","-0,63","4,34"
196108,"0,05","8,4","-1,16",5
196107,"0,05","10,03","0,24","6,23"
196106,"0,05","10,27","0,13","5,97"
196105,"0,05","10,23","1,1","5,83"
196104,"0,05","9,87","2,04","4,68"
196103,"0,04","8,7","1,61","2,59"
196102,"0,04","8,36","0,42","0,96"
196101,"0,04","7,59","0,54","0,54"
196012,"0,04","7,35","1,04","7,35"
196011,"0,04","7,13","1,17","6,25"
196010,"0,04","6,12","0,77","5,02"
196009,"0,04","5,57","0,23","4,23"
196008,"0,04","4,96","0,33","3,99"
196007,"0,04","4,79","0,46","3,64"
196006,"0,04","4,93","0,1","3,17"
196005,"0,04","5,52","0,76","3,06"
196004,"0,04","5,49","0,96","2,29"
196003,"0,04","6,14","1,29","1,32"
196002,"0,04","5,24","-0,3","0,02"
196001,"0,04","6,52","0,32","0,32"
195912,"0,04","7,81","0,83","7,81"
195911,"0,04","7,42","0,22","6,92"
195910,"0,04","7,14","0,24","6,69"
195909,"0,04","7,23","-0,35","6,44"
195908,"0,04","7,78","0,17","6,81"
195907,"0,04","8,41","0,59","6,63"
195906,"0,04","7,87","0,66",6
195905,"0,04","7,62","0,73","5,3"
195904,"0,04","8,96","1,58","4,54"
195903,"0,04","9,09","0,43","2,91"
195902,"0,04","10,34","0,92","2,47"
195901,"0,04","9,47","1,54","1,54"
195812,"0,04","7,98","0,47","7,98"
195811,"0,04","8,54","-0,05","7,48"
195810,"0,04","8,92","0,33","7,53"
195809,"0,04","10,14","0,16","7,18"
195808,"0,04","10,47","0,76",7
195807,"0,04","10,99","0,09","6,2"
195806,"0,04","13,9","0,43","6,1"
195805,"0,04","18,06","1,99","5,65"
195804,"0,04","17,24","1,7","3,59"
195803,"0,04","17,86","1,58","1,86"
195802,"0,03","18,05","0,12","0,28"
195801,"0,03","19,46","0,15","0,15"
195712,"0,03","20,69","0,99","20,69"
195711,"0,03","19,84","0,31","19,51"
195710,"0,03","21,17","1,44","19,15"
195709,"0,03","20,93","0,46","17,45"
195708,"0,03","21,43","1,23","16,91"
195707,"0,03","19,39","2,72","15,49"
195706,"0,03","17,15","4,1","12,43"
195705,"0,03","13,58","1,28",8
195704,"0,03","12,97","2,24","6,64"
195703,"0,03","11,21","1,74","4,3"
195702,"0,03","10,3","1,32","2,52"
195701,"0,03","9,3","1,18","1,18"
195612,"0,03","7,91","0,27","7,91"
195611,"0,03","8,83","1,42","7,62"
195610,"0,03","8,31","1,25","6,11"
195609,"0,03","7,26","0,88","4,81"
195608,"0,03","5,76","-0,47","3,89"
195607,"0,03","6,36","0,79","4,38"
195606,"0,03","5,28","0,92","3,56"
195605,"0,03","4,25","0,74","2,62"
195604,"0,03","3,04","0,65","1,86"
195603,"0,03","3,1","0,91","1,21"
195602,"0,03","2,57","0,39","0,29"
195601,"0,03","2,1","-0,1","-0,1"